+-------+-----+-----+-----+-----+-----+--------+------------------------------+-------+-------+-------+-------+-------+-------+-------+--------+------------+------------+-------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |             URI              |  MIN  |  MAX  |  SUM  |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+------------------------------+-------+-------+-------+-------+-------+-------+-------+--------+------------+------------+-------------+-----------+
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /initialize                  | 0.412 | 0.412 | 0.412 | 0.412 | 0.412 | 0.412 | 0.412 |  0.000 |     23.000 |     23.000 |      23.000 |    23.000 |
|    18 |   0 |  18 |   0 |   0 |   0 | GET    | /api/condition/.{36}         | 0.000 | 0.004 | 0.048 | 0.003 | 0.004 | 0.004 | 0.004 |  0.002 |      3.000 |   6382.000 |   42044.000 |  2335.778 |
|    12 |   0 |  12 |   0 |   0 |   0 | GET    | /api/isu/.{36}/graph         | 0.004 | 0.004 | 0.044 | 0.004 | 0.004 | 0.004 | 0.004 |  0.001 |   2691.000 |   6875.000 |   66600.000 |  5550.000 |
|    35 |   0 |   3 |  32 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.004 | 0.028 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 | 743417.000 | 743417.000 | 2230251.000 | 63721.457 |
|    12 |   0 |  12 |   0 |   0 |   0 | GET    | /api/isu/.{36}/icon          | 0.000 | 0.004 | 0.024 | 0.002 | 0.004 | 0.004 | 0.004 |  0.002 |   7994.000 |  20872.000 |  168940.000 | 14078.333 |
|    35 |   0 |   5 |  30 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.004 | 0.024 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |    592.000 |    592.000 |    2960.000 |    84.571 |
|    35 |   0 |   4 |  31 |   0 |   0 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.004 | 0.020 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |  26667.000 |  26667.000 |  106668.000 |  3047.657 |
|    35 |   0 |   4 |  31 |   0 |   0 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.004 | 0.020 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |  19066.000 |  19066.000 |   76264.000 |  2178.971 |
|    35 |   0 |   5 |  30 |   0 |   0 | GET    | /assets/logo_white.svg       | 0.004 | 0.004 | 0.016 | 0.000 | 0.004 | 0.004 | 0.004 |  0.001 |   3285.000 |   3285.000 |   16425.000 |   469.286 |
|    18 |   0 |   9 |   9 |   0 |   0 | GET    | /isu/.{36}/condition         | 0.000 | 0.004 | 0.012 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |      0.000 |    528.000 |    4752.000 |   264.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/auth                    | 0.000 | 0.012 | 0.012 | 0.006 | 0.012 | 0.012 | 0.012 |  0.006 |      0.000 |      0.000 |       0.000 |     0.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/isu                     | 0.004 | 0.008 | 0.012 | 0.006 | 0.008 | 0.008 | 0.008 |  0.002 |    511.000 |   2565.000 |    3076.000 |  1538.000 |
|     4 |   0 |   2 |   0 |   2 |   0 | POST   | /api/signout                 | 0.000 | 0.004 | 0.008 | 0.002 | 0.004 | 0.004 | 0.004 |  0.002 |     21.000 |     21.000 |      42.000 |    10.500 |
|     6 |   0 |   5 |   0 |   1 |   0 | POST   | /api/condition/.{36}         | 0.004 | 0.004 | 0.008 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |      0.000 |     14.000 |      14.000 |     2.333 |
|     6 |   0 |   6 |   0 |   0 |   0 | GET    | /isu/.{36}/graph             | 0.004 | 0.004 | 0.008 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |    528.000 |    528.000 |    3168.000 |   528.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/me                 | 0.004 | 0.004 | 0.008 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |     31.000 |     42.000 |      73.000 |    36.500 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /assets/logo_orange.svg      | 0.004 | 0.004 | 0.008 | 0.003 | 0.004 | 0.004 | 0.004 |  0.002 |   3288.000 |   3288.000 |    9864.000 |  3288.000 |
|    12 |   0 |  12 |   0 |   0 |   0 | GET    | /isu/.{36}                   | 0.000 | 0.004 | 0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |    132.000 |    528.000 |    4001.000 |   333.417 |
|     7 |   0 |   5 |   2 |   0 |   0 | GET    | /                            | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |    2640.000 |   377.143 |
|     2 |   0 |   0 |   0 |   0 |   2 | GET    | /api/trend                   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |      0.000 |       0.000 |     0.000 |
+-------+-----+-----+-----+-----+-----+--------+------------------------------+-------+-------+-------+-------+-------+-------+-------+--------+------------+------------+-------------+-----------+
